Model,Context Length,With Message,Concern Count,Accuracy,F1,Precision,Recall,Inference Time
qwen_qwen3-14b_Two_shot,1024,No,2,0.41,0.66,0.66,0.66,4.107511537662451
qwen_qwen3-14b_Two_shot,1024,No,3,0.1,0.64,0.74,0.58,4.968422044681597
qwen_qwen3-14b_Two_shot,1024,Yes,1,0.42,0.65,0.59,0.77,3.6134480276415424
qwen_qwen3-14b_Two_shot,1024,Yes,2,0.38,0.68,0.67,0.69,4.776116194932357
qwen_qwen3-14b_Two_shot,1024,Yes,3,0.22,0.7,0.75,0.69,5.861909063556526
qwen_qwen3-14b_Two_shot,2048,No,1,0.37,0.53,0.49,0.61,3.9970268395639237
qwen_qwen3-14b_Two_shot,2048,No,2,0.42,0.68,0.68,0.67,5.258182639661043
qwen_qwen3-14b_Two_shot,2048,No,3,0.04,0.61,0.7,0.55,7.182620558557631
qwen_qwen3-14b_Two_shot,2048,Yes,1,0.44,0.64,0.59,0.76,4.465693085424362
qwen_qwen3-14b_Two_shot,2048,Yes,2,0.36,0.67,0.66,0.68,6.025821450827778
qwen_qwen3-14b_Two_shot,2048,Yes,3,0.15,0.68,0.73,0.67,8.246815240835842
qwen_qwen3-14b_Two_shot,4096,No,1,0.39,0.54,0.5,0.61,4.989859484857129
qwen_qwen3-14b_Two_shot,4096,No,2,0.38,0.66,0.66,0.66,6.513216799583988
qwen_qwen3-14b_Two_shot,4096,No,3,0.11,0.61,0.71,0.55,9.310351495501362
qwen_qwen3-14b_Two_shot,4096,Yes,1,0.42,0.64,0.58,0.76,5.600098813733747
qwen_qwen3-14b_Two_shot,4096,Yes,2,0.35,0.68,0.67,0.7,7.379918233208034
qwen_qwen3-14b_Two_shot,4096,Yes,3,0.15,0.67,0.73,0.65,10.554255494588539
qwen_qwen3-14b_Two_shot,8192,Yes,1,0.4,0.63,0.58,0.76,6.404439768483562
qwen_qwen3-14b_Two_shot,8192,Yes,2,0.33,0.67,0.66,0.69,8.868430987648342
qwen_qwen3-14b_Two_shot,8192,Yes,3,0.15,0.68,0.73,0.65,13.16671602635444
qwen_qwen3-14b_Two_shot,12288,Yes,1,0.4,0.63,0.58,0.76,6.076468598458074
qwen_qwen3-14b_Two_shot,12288,Yes,2,0.33,0.67,0.66,0.69,9.361031283502994
qwen_qwen3-14b_Two_shot,12288,Yes,3,0.15,0.69,0.74,0.67,13.634781339500524
qwen_qwen3-14b_Zero_shot,1024,No,1,0.44,0.63,0.58,0.73,3.2248218790177376
qwen_qwen3-14b_Zero_shot,1024,No,2,0.36,0.63,0.62,0.67,4.193376071211221
qwen_qwen3-14b_Zero_shot,1024,No,3,0.18,0.66,0.71,0.65,5.187917377375349
qwen_qwen3-14b_Zero_shot,1024,Yes,1,0.53,0.74,0.69,0.84,3.0685374121512137
qwen_qwen3-14b_Zero_shot,1024,Yes,2,0.42,0.68,0.67,0.72,4.027997763260551
qwen_qwen3-14b_Zero_shot,1024,Yes,3,0.22,0.68,0.7,0.69,4.938988981367666
qwen_qwen3-14b_Zero_shot,2048,No,1,0.44,0.62,0.57,0.71,3.949092076670739
qwen_qwen3-14b_Zero_shot,2048,No,2,0.43,0.67,0.68,0.68,5.228419556133989
qwen_qwen3-14b_Zero_shot,2048,No,3,0.19,0.66,0.7,0.65,7.210417635833161
qwen_qwen3-14b_Zero_shot,2048,Yes,1,0.48,0.72,0.66,0.84,3.7493282325806154
qwen_qwen3-14b_Zero_shot,2048,Yes,2,0.35,0.66,0.65,0.68,5.040036470993705
qwen_qwen3-14b_Zero_shot,2048,Yes,3,0.22,0.67,0.67,0.69,6.97965797593322
qwen_qwen3-14b_Zero_shot,4096,No,1,0.44,0.62,0.57,0.71,4.950378487187047
qwen_qwen3-14b_Zero_shot,4096,No,2,0.41,0.66,0.66,0.67,6.3948224696560185
qwen_qwen3-14b_Zero_shot,4096,No,3,0.15,0.66,0.7,0.64,9.286805635766138
qwen_qwen3-14b_Zero_shot,4096,Yes,1,0.5,0.72,0.67,0.84,4.694247664943818
qwen_qwen3-14b_Zero_shot,4096,Yes,2,0.36,0.66,0.66,0.67,6.148047340088996
