set,split,concern_count,cross_concern_file_overlap,overlaps_reference_set,n_files,n_hunks,hunks_per_file,distinct_function_contexts,function_context_coverage,within_function_coediting,median_line_gap,total_changed_lines,set1_variant
synthetic,train,1.0,,False,1,1,1.0,0,0.0,0,,30,full
synthetic,train,1.0,,False,1,1,1.0,0,0.0,0,,2,full
synthetic,train,1.0,,False,1,1,1.0,1,1.0,0,,7,full
synthetic,train,1.0,,False,1,2,2.0,2,1.0,0,15.0,4,full
synthetic,train,1.0,,False,1,3,3.0,1,0.6666666666666666,1,29.0,14,full
synthetic,train,1.0,,False,2,2,1.0,1,0.5,0,,5,full
synthetic,train,1.0,,False,2,2,1.0,0,0.0,0,,389,full
synthetic,train,1.0,,False,8,9,1.125,3,0.3333333333333333,0,10.0,25,full
synthetic,train,1.0,,False,11,13,1.1818181818181819,2,0.3076923076923077,1,95.0,70,full
synthetic,train,1.0,,False,4,8,2.0,4,0.625,1,14.5,659,full
synthetic,train,1.0,,False,1,1,1.0,1,1.0,0,,2,full
synthetic,train,1.0,,False,1,2,2.0,1,0.5,0,133.0,29,full
synthetic,train,1.0,,False,4,8,2.0,6,0.875,1,37.0,186,full
synthetic,train,1.0,,False,3,10,3.3333333333333335,10,1.0,0,82.0,95,full
synthetic,train,1.0,,False,1,1,1.0,1,1.0,0,,2,full
synthetic,train,1.0,,False,2,2,1.0,2,1.0,0,,12,full
synthetic,train,1.0,,False,2,3,1.5,3,1.0,0,81.0,5,full
synthetic,train,1.0,,True,3,11,3.6666666666666665,5,1.0,1,109.5,274,full
synthetic,train,1.0,,False,6,11,1.8333333333333333,7,0.9090909090909091,1,23.0,34,full
synthetic,train,1.0,,False,4,5,1.25,1,0.2,0,63.0,141,full
synthetic,train,1.0,,False,1,1,1.0,1,1.0,0,,2,full
synthetic,train,1.0,,False,1,2,2.0,2,1.0,0,53.0,8,full
synthetic,train,1.0,,False,1,1,1.0,1,1.0,0,,3,full
synthetic,train,1.0,,False,1,1,1.0,1,1.0,0,,5,full
synthetic,train,1.0,,False,1,2,2.0,1,1.0,1,35.0,12,full
synthetic,train,1.0,,False,1,4,4.0,1,1.0,1,15.0,14,full
synthetic,train,1.0,,False,1,1,1.0,1,1.0,0,,10,full
synthetic,train,1.0,,False,11,1,0.09090909090909091,1,1.0,0,,75,full
synthetic,train,1.0,,False,1,1,1.0,1,1.0,0,,2,full
synthetic,train,1.0,,False,1,18,18.0,1,1.0,1,15.0,46,full
synthetic,train,1.0,,False,2,4,2.0,3,1.0,1,9.5,8,full
synthetic,train,1.0,,False,5,20,4.0,6,1.0,1,19.0,52,full
synthetic,train,1.0,,False,1,1,1.0,1,1.0,0,,4,full
synthetic,train,1.0,,True,2,2,1.0,2,1.0,0,,15,full
synthetic,train,1.0,,False,1,3,3.0,1,1.0,1,15.0,30,full
synthetic,train,1.0,,False,3,5,1.6666666666666667,1,0.4,1,16.5,42,full
synthetic,train,1.0,,False,1,1,1.0,1,1.0,0,,1,full
synthetic,train,1.0,,False,6,16,2.6666666666666665,8,0.875,1,20.0,105,full
synthetic,train,1.0,,False,4,9,2.25,7,1.0,1,20.0,23,full
synthetic,train,1.0,,False,1,1,1.0,1,1.0,0,,239,full
synthetic,train,1.0,,False,1,1,1.0,1,1.0,0,,4,full
synthetic,train,1.0,,False,3,3,1.0,0,0.0,0,,31,full
synthetic,train,1.0,,False,1,1,1.0,0,0.0,0,,9,full
synthetic,train,1.0,,False,1,1,1.0,1,1.0,0,,2,full
synthetic,train,1.0,,False,6,14,2.3333333333333335,9,0.8571428571428571,1,16.5,60,full
synthetic,train,1.0,,False,1,1,1.0,1,1.0,0,,2,full
synthetic,train,1.0,,False,3,4,1.3333333333333333,4,1.0,0,19.0,32,full
synthetic,train,1.0,,False,1,6,6.0,1,1.0,1,24.0,176,full
synthetic,train,1.0,,False,18,17,0.9444444444444444,0,0.0,0,87.0,66,full
synthetic,train,1.0,,False,2,7,3.5,6,1.0,1,23.0,32,full
synthetic,train,1.0,,False,1,2,2.0,2,1.0,0,22.0,6,full
synthetic,train,1.0,,False,1,1,1.0,1,1.0,0,,21,full
synthetic,train,1.0,,False,8,10,1.25,6,0.9,1,14.0,134,full
synthetic,train,1.0,,False,3,5,1.6666666666666667,5,1.0,0,1241.5,20,full
synthetic,train,1.0,,False,1,4,4.0,2,1.0,1,36.0,54,full
synthetic,train,1.0,,False,1,1,1.0,0,0.0,0,,2,full
synthetic,train,1.0,,False,1,1,1.0,1,1.0,0,,14,full
synthetic,train,1.0,,False,1,1,1.0,1,1.0,0,,2,full
synthetic,train,1.0,,False,5,8,1.6,6,1.0,1,376.0,82,full
synthetic,train,1.0,,False,1,2,2.0,2,1.0,0,472.0,4,full
synthetic,train,1.0,,False,2,9,4.5,0,0.0,0,19.0,36,full
synthetic,train,1.0,,False,1,2,2.0,1,1.0,1,56.0,6,full
synthetic,train,1.0,,False,1,1,1.0,1,1.0,0,,2,full
synthetic,train,1.0,,False,2,13,6.5,11,0.8461538461538461,0,149.0,79,full
synthetic,train,1.0,,False,16,28,1.75,24,0.8571428571428571,0,18.5,499,full
synthetic,train,1.0,,False,3,5,1.6666666666666667,2,0.6,1,60.5,92,full
synthetic,train,1.0,,False,6,10,1.6666666666666667,9,1.0,1,16.0,35,full
synthetic,train,1.0,,False,1,1,1.0,1,1.0,0,,2,full
synthetic,train,1.0,,False,1,2,2.0,1,1.0,1,20.0,4,full
synthetic,train,1.0,,False,3,6,2.0,0,0.0,0,70.0,15,full
synthetic,train,1.0,,False,1,1,1.0,1,1.0,0,,2,full
synthetic,train,1.0,,False,1,1,1.0,1,1.0,0,,4,full
synthetic,train,1.0,,False,1,1,1.0,1,1.0,0,,4,full
synthetic,train,1.0,,True,11,23,2.090909090909091,12,1.0,1,16.5,90,full
synthetic,train,1.0,,False,1,2,2.0,1,0.5,0,172.0,24,full
synthetic,train,1.0,,False,4,7,1.75,6,1.0,1,12.0,13,full
synthetic,train,1.0,,False,1,1,1.0,1,1.0,0,,7,full
synthetic,train,1.0,,False,1,1,1.0,0,0.0,0,,41,full
synthetic,train,1.0,,False,3,3,1.0,2,0.6666666666666666,0,,4,full
synthetic,train,1.0,,False,1,2,2.0,2,1.0,0,56.0,39,full
synthetic,train,1.0,,False,1,1,1.0,1,1.0,0,,2,full
synthetic,train,1.0,,False,1,2,2.0,1,1.0,1,12.0,4,full
synthetic,train,1.0,,True,1,2,2.0,2,1.0,0,53.0,26,full
synthetic,train,1.0,,False,1,1,1.0,1,1.0,0,,4,full
synthetic,train,1.0,,False,11,42,3.8181818181818183,20,1.0,1,30.0,136,full
synthetic,train,1.0,,False,1,2,2.0,0,0.0,0,12.0,8,full
synthetic,train,1.0,,False,1,1,1.0,1,1.0,0,,5,full
synthetic,train,1.0,,False,1,1,1.0,1,1.0,0,,2,full
synthetic,train,1.0,,False,1,1,1.0,1,1.0,0,,2,full
synthetic,train,1.0,,False,1,1,1.0,1,1.0,0,,2,full
synthetic,train,1.0,,False,1,8,8.0,4,0.875,1,16.0,46,full
synthetic,train,1.0,,False,1,1,1.0,0,0.0,0,,11,full
synthetic,train,1.0,,False,2,4,2.0,2,1.0,1,23.0,32,full
synthetic,train,1.0,,False,1,2,2.0,2,1.0,0,71.0,18,full
synthetic,train,1.0,,False,1,2,2.0,1,1.0,1,13.0,6,full
synthetic,train,1.0,,False,1,1,1.0,1,1.0,0,,2,full
synthetic,train,1.0,,False,1,4,4.0,4,1.0,0,30.0,18,full
synthetic,train,1.0,,False,1,5,5.0,4,1.0,1,17.5,60,full
synthetic,train,1.0,,False,7,10,1.4285714285714286,3,0.6,1,49.0,106,full
synthetic,train,1.0,,False,1,1,1.0,1,1.0,0,,1,full
synthetic,train,1.0,,False,1,7,7.0,2,1.0,1,63.0,24,full
synthetic,train,1.0,,False,2,2,1.0,0,0.0,0,,9,full
synthetic,train,1.0,,False,1,2,2.0,2,1.0,0,33.0,4,full
synthetic,train,1.0,,False,2,7,3.5,2,1.0,1,17.0,21,full
synthetic,train,1.0,,False,1,1,1.0,0,0.0,0,,3,full
synthetic,train,1.0,,False,1,1,1.0,1,1.0,0,,2,full
synthetic,train,1.0,,False,2,3,1.5,3,1.0,0,71.0,19,full
synthetic,train,1.0,,False,1,1,1.0,1,1.0,0,,2,full
synthetic,train,1.0,,True,2,5,2.5,4,1.0,1,21.0,50,full
synthetic,train,1.0,,False,1,1,1.0,1,1.0,0,,2,full
synthetic,train,1.0,,False,2,43,21.5,2,1.0,1,22.0,274,full
synthetic,train,1.0,,False,2,3,1.5,1,0.6666666666666666,1,8.0,16,full
synthetic,train,1.0,,False,1,1,1.0,1,1.0,0,,2,full
synthetic,train,1.0,,False,2,2,1.0,2,1.0,0,,91,full
synthetic,train,1.0,,False,2,3,1.5,1,0.6666666666666666,1,46.0,6,full
synthetic,train,1.0,,False,1,3,3.0,1,1.0,1,32.0,12,full
synthetic,train,1.0,,False,1,2,2.0,2,1.0,0,329.0,23,full
synthetic,train,1.0,,False,1,2,2.0,1,1.0,1,10.0,5,full
synthetic,train,1.0,,False,1,1,1.0,1,1.0,0,,2,full
synthetic,train,1.0,,False,1,2,2.0,1,1.0,1,16.0,11,full
synthetic,train,1.0,,False,2,2,1.0,1,0.5,0,,5,full
synthetic,train,1.0,,False,2,4,2.0,3,0.75,0,118.0,143,full
synthetic,train,1.0,,False,6,16,2.6666666666666665,13,1.0,1,27.0,48,full
synthetic,train,1.0,,False,2,2,1.0,2,1.0,0,,13,full
synthetic,train,1.0,,False,1,1,1.0,1,1.0,0,,2,full
synthetic,train,1.0,,False,2,3,1.5,2,1.0,1,15.0,14,full
synthetic,train,1.0,,False,1,1,1.0,1,1.0,0,,3,full
synthetic,train,1.0,,False,3,8,2.6666666666666665,5,0.875,1,47.0,31,full
synthetic,train,1.0,,False,1,2,2.0,2,1.0,0,12.0,4,full
synthetic,train,1.0,,False,2,3,1.5,2,1.0,1,11.0,6,full
synthetic,train,1.0,,False,7,32,4.571428571428571,23,0.9375,1,32.0,165,full
synthetic,train,1.0,,True,3,17,5.666666666666667,12,1.0,1,36.0,96,full
synthetic,train,1.0,,False,1,4,4.0,1,0.75,1,48.0,12,full
synthetic,train,1.0,,False,1,1,1.0,1,1.0,0,,4,full
synthetic,train,1.0,,False,1,1,1.0,0,0.0,0,,1,full
synthetic,train,1.0,,False,2,3,1.5,2,0.6666666666666666,0,172.0,164,full
synthetic,train,1.0,,False,1,1,1.0,1,1.0,0,,1,full
